Pattern,Exemplar,Category,Non-category,Sub-category,stimulus,correct.response,type
Einige Exemplar sind Category,Bären,Säugetiere,Trompeten,Pandas,Einige Bären sind Säugetiere.,w,Some critical
Einige Exemplar sind Category,Briefe,Post,Zangen,Rechnungen,Einige Briefe sind Post.,w,Some critical
Einige Exemplar sind Category,Tassen,Geschirr,Bananen,beschriftet,Einige Tassen sind Geschirr.,w,Some critical
Einige Exemplar sind Category,Handys,Telefone,Restaurants,Smartphones,Einige Handys sind Telefone.,w,Some critical
Einige Exemplar sind Category,Fahrräder,Verkehrsmittel,Mützen,Tandems,Einige Fahrräder sind Verkehrsmittel.,w,Some critical
Einige Exemplar sind Category,Linsen,Hülsenfrüchte,Werkzeug,gelb,Einige Linsen sind Hülsenfrüchte.,w,Some critical
Einige Exemplar sind Category,Pizzen,Lebensmittel,Nagetiere,tiefgekühlt,Einige Pizzen sind Lebensmittel.,w,Some critical
Einige Exemplar sind Category,Banknoten,Zahlungsmittel,Stühle,gefälscht,Einige Banknoten sind Zahlungsmittel.,w,Some critical
Einige Exemplar sind Category,Kugelschreiber,Stifte,Bücher,leer,Einige Kugelschreiber sind Stifte.,w,Some critical
Einige Exemplar sind Category,Wölfe,Raubtiere,Kissen,weiß,Einige Wölfe sind Raubtiere.,w,Some critical
Einige Exemplar sind Category,Anwälte,Leute,Bücher,Männer,Einige Anwälte sind Leute.,w,Some critical
Einige Exemplar sind Category,Dozenten,Leute,Autos,Psychologen,Einige Dozenten sind Leute.,w,Some critical
Einige Exemplar sind Category,Volvos,Autos,Insekten,rot,Einige Volvos sind Autos.,w,Some critical
Einige Exemplar sind Category,Socken,Kleidungsstücke,Nüsse,löchrig,Einige Socken sind Kleidungsstücke.,w,Some critical
Einige Exemplar sind Category,Handschuhe,Kleidungsstücke,Insekten,fingerlos,Einige Handschuhe sind Kleidungsstücke.,w,Some critical
Einige Exemplar sind Category,Buchhalter,Leute,Pflanzen,Golfer,Einige Buchhalter sind Leute.,w,Some critical
Einige Exemplar sind Category,Löwen,Raubtiere,Kartoffeln,männlich,Einige Löwen sind Raubtiere.,w,Some critical
Einige Exemplar sind Category,Hunde,Säugetiere,Schiffe,geimpft,Einige Hunde sind Säugetiere.,w,Some critical
Einige Exemplar sind Category,Hühner,Vögel,Tapeten,freilaufend,Einige Hühner sind Vögel.,w,Some critical
Einige Exemplar sind Category,Ärztinnen,Leute,Computer,Spezialistinnen,Einige Ärztinnen sind Leute.,w,Some critical
Einige Exemplar sind Category,Paprikas,Pflanzen,Werkzeug,grün,Einige Paprikas sind Pflanzen.,w,Some critical
Einige Exemplar sind Category,Schüsseln,Geschirr,Pullover,aus Metall,Einige Schüsseln sind Geschirr.,w,Some critical
Einige Exemplar sind Category,Pullover,Kleidungsstücke,Bärte,gemustert,Einige Pullover sind Kleidungsstücke.,w,Some critical
Einige Exemplar sind Category,PCs,Computer,Tassen,Laptops,Einige PCs sind Computer.,w,Some critical
Einige Exemplar sind Category,Studentinnen,Leute,Instrumente,niedersächsisch,Einige Studentinnen sind Leute.,w,Some critical
